经脉分类,经脉,穴位,效果
十二正经-足阳明胃经,足阳明胃经,梁门,"底气上限+10，后天柔韧+2"
十二正经-足阳明胃经,足阳明胃经,关门,"底气上限+10，后天柔韧+2"
十二正经-足阳明胃经,足阳明胃经,太乙,"底气上限+10，后天柔韧+2"
十二正经-足阳明胃经,足阳明胃经,滑肉门,"底气上限+10，后天柔韧+2"
十二正经-足阳明胃经,足阳明胃经,天枢,"底气上限+10，后天柔韧+2"
十二正经-足阳明胃经,足阳明胃经,外陵,"底气上限+10，后天柔韧+2"
十二正经-足阳明胃经,足阳明胃经,大巨,"底气上限+10，后天柔韧+2"
十二正经-足阳明胃经,足阳明胃经,水道,"底气上限+10，后天柔韧+2"
十二正经-足阳明胃经,足阳明胃经,归来,"底气上限+10，后天柔韧+2"
十二正经-足阳明胃经,足阳明胃经,气冲,"底气上限+10，后天柔韧+2"
十二正经-足阳明胃经,足阳明胃经,髀关,"底气上限+10，后天柔韧+2"
十二正经-足阳明胃经,足阳明胃经,伏兔,"底气上限+10，后天柔韧+2"
十二正经-足阳明胃经,足阳明胃经,阴市,"底气上限+10，后天柔韧+2"
十二正经-足阳明胃经,足阳明胃经,梁丘,"底气上限+10，后天柔韧+2"
十二正经-足阳明胃经,足阳明胃经,犊鼻,"底气上限+10，后天柔韧+2"
十二正经-足阳明胃经,足阳明胃经,足三里,"底气上限+10，后天柔韧+2"
十二正经-足阳明胃经,足阳明胃经,上巨虚,"底气上限+10，后天柔韧+2"
十二正经-足阳明胃经,足阳明胃经,条口,"底气上限+10，后天柔韧+2"
十二正经-足阳明胃经,足阳明胃经,下巨虚,"底气上限+10，后天柔韧+2"
十二正经-足阳明胃经,足阳明胃经,丰隆,"底气上限+10，后天柔韧+2"
十二正经-足阳明胃经,足阳明胃经,解溪,"底气上限+10，后天柔韧+2"
十二正经-足阳明胃经,足阳明胃经,冲阳,"底气上限+10，后天柔韧+2"
十二正经-足阳明胃经,足阳明胃经,陷谷,"底气上限+10，后天柔韧+2"
十二正经-足阳明胃经,足阳明胃经,内庭,"底气上限+10，后天柔韧+2"
十二正经-足阳明胃经,足阳明胃经,厉兑,"底气上限+10，后天柔韧+2"
十二正经-足太阴脾经,足太阴脾经,隐白,"底气上限+10，后天呼吸+2"
十二正经-足太阴脾经,足太阴脾经,大都,"底气上限+10，后天呼吸+2"
十二正经-足太阴脾经,足太阴脾经,太白,"底气上限+10，后天呼吸+2"
十二正经-足太阴脾经,足太阴脾经,公孙,"底气上限+10，后天呼吸+2"
十二正经-足太阴脾经,足太阴脾经,商丘,"底气上限+10，后天呼吸+2"
十二正经-足太阴脾经,足太阴脾经,三阴交,"底气上限+10，后天呼吸+2"
十二正经-足太阴脾经,足太阴脾经,漏谷,"底气上限+10，后天呼吸+2"
十二正经-足太阴脾经,足太阴脾经,地机,"底气上限+10，后天呼吸+2"
十二正经-足太阴脾经,足太阴脾经,阴陵泉,"底气上限+10，后天呼吸+2"
十二正经-足太阴脾经,足太阴脾经,血海,"底气上限+10，后天呼吸+2"
十二正经-足太阴脾经,足太阴脾经,箕门,"底气上限+10，后天呼吸+2"
十二正经-足太阴脾经,足太阴脾经,冲门,"底气上限+10，后天呼吸+2"
十二正经-足太阴脾经,足太阴脾经,府舍,"底气上限+10，后天呼吸+2"
十二正经-足太阴脾经,足太阴脾经,腹结,"底气上限+10，后天呼吸+2"
十二正经-足太阴脾经,足太阴脾经,大横,"底气上限+10，后天呼吸+2"
十二正经-足太阴脾经,足太阴脾经,腹哀,"底气上限+10，后天呼吸+2"
十二正经-足太阴脾经,足太阴脾经,食窦,"底气上限+10，后天呼吸+2"
十二正经-足太阴脾经,足太阴脾经,天溪,"底气上限+10，后天呼吸+2"
十二正经-足太阴脾经,足太阴脾经,胸乡,"底气上限+10，后天呼吸+2"
十二正经-足太阴脾经,足太阴脾经,周荣,"底气上限+10，后天呼吸+2"
十二正经-足太阴脾经,足太阴脾经,大包,"底气上限+10，后天呼吸+2"
十二正经-手少阴心经,手少阴心经,极泉,"底气上限+10，后天筋骨+2"
十二正经-手少阴心经,手少阴心经,青灵,"底气上限+10，后天筋骨+2"
十二正经-手少阴心经,手少阴心经,少海,"底气上限+10，后天筋骨+2"
十二正经-手少阴心经,手少阴心经,灵道,"底气上限+10，后天筋骨+2"
十二正经-手少阴心经,手少阴心经,通里,"底气上限+10，后天筋骨+2"
十二正经-手少阴心经,手少阴心经,阴郄,"底气上限+10，后天筋骨+2"
十二正经-手少阴心经,手少阴心经,神门,"底气上限+10，后天筋骨+2"
十二正经-手少阴心经,手少阴心经,少府,"底气上限+10，后天筋骨+2"
十二正经-手少阴心经,手少阴心经,少冲,"底气上限+10，后天筋骨+2"
十二正经-手太阳小肠经,手太阳小肠经,少泽,"底气上限+10，后天柔韧+2"
十二正经-手太阳小肠经,手太阳小肠经,前谷,"底气上限+10，后天柔韧+2"
十二正经-手太阳小肠经,手太阳小肠经,后溪,"底气上限+10，后天柔韧+2"
十二正经-手太阳小肠经,手太阳小肠经,腕骨,"底气上限+10，后天柔韧+2"
十二正经-手太阳小肠经,手太阳小肠经,阳谷,"底气上限+10，后天柔韧+2"
十二正经-手太阳小肠经,手太阳小肠经,养老,"底气上限+10，后天柔韧+2"
十二正经-手太阳小肠经,手太阳小肠经,支正,"底气上限+10，后天柔韧+2"
十二正经-手太阳小肠经,手太阳小肠经,小海,"底气上限+10，后天柔韧+2"
十二正经-手太阳小肠经,手太阳小肠经,肩贞,"底气上限+10，后天柔韧+2"
十二正经-手太阳小肠经,手太阳小肠经,臑俞,"底气上限+10，后天柔韧+2"
十二正经-手太阳小肠经,手太阳小肠经,天宗,"底气上限+10，后天柔韧+2"
十二正经-手太阳小肠经,手太阳小肠经,秉风,"底气上限+10，后天柔韧+2"
十二正经-手太阳小肠经,手太阳小肠经,曲垣,"底气上限+10，后天柔韧+2"
十二正经-手太阳小肠经,手太阳小肠经,肩外俞,"底气上限+10，后天柔韧+2"
十二正经-手太阳小肠经,手太阳小肠经,肩中俞,"底气上限+10，后天柔韧+2"
十二正经-手太阳小肠经,手太阳小肠经,天窗,"底气上限+10，后天柔韧+2"
十二正经-手太阳小肠经,手太阳小肠经,天容,"底气上限+10，后天柔韧+2"
十二正经-手太阳小肠经,手太阳小肠经,颧髎,"底气上限+10，后天柔韧+2"
十二正经-手太阳小肠经,手太阳小肠经,听宫,"底气上限+10，后天柔韧+2"
十二正经-足太阳膀胱经,足太阳膀胱经,睛明,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,攒竹,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,眉冲,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,曲差,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,五处,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,承光,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,通天,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,络却,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,玉枕,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,天柱,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,大杼,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,风门,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,肺俞,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,厥阴俞,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,心俞,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,督俞,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,膈俞,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,肝俞,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,胆俞,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,脾俞,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,胃俞,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,三焦俞,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,肾俞,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,气海俞,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,大肠俞,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,关元俞,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,小肠俞,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,膀胱俞,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,中膂俞,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,白环俞,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,上髎,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,次髎,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,中髎,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,下髎,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,会阳,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,承扶,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,殷门,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,浮郄,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,委阳,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,委中,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,附分,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,魄户,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,膏肓,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,神堂,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,譩譆,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,膈关,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,魂门,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,阳纲,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,意舍,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,胃仓,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,肓门,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,志室,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,胞肓,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,秩边,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,合阳,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,承筋,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,承山,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,飞扬,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,跗阳,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,昆仑,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,仆参,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,申脉,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,金门,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,京骨,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,束骨,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,足通谷,"底气上限+10，后天呼吸+2"
十二正经-足太阳膀胱经,足太阳膀胱经,至阴,"底气上限+10，后天呼吸+2"
十二正经-足少阴肾经,足少阴肾经,涌泉,"底气上限+10，后天筋骨+2"
十二正经-足少阴肾经,足少阴肾经,然谷,"底气上限+10，后天筋骨+2"
十二正经-足少阴肾经,足少阴肾经,太溪,"底气上限+10，后天筋骨+2"
十二正经-足少阴肾经,足少阴肾经,大钟,"底气上限+10，后天筋骨+2"
十二正经-足少阴肾经,足少阴肾经,水泉,"底气上限+10，后天筋骨+2"
十二正经-足少阴肾经,足少阴肾经,照海,"底气上限+10，后天筋骨+2"
十二正经-足少阴肾经,足少阴肾经,复溜,"底气上限+10，后天筋骨+2"
十二正经-足少阴肾经,足少阴肾经,交信,"底气上限+10，后天筋骨+2"
十二正经-足少阴肾经,足少阴肾经,筑宾,"底气上限+10，后天筋骨+2"
十二正经-足少阴肾经,足少阴肾经,阴谷,"底气上限+10，后天筋骨+2"
十二正经-足少阴肾经,足少阴肾经,横骨,"底气上限+10，后天筋骨+2"
十二正经-足少阴肾经,足少阴肾经,大赫,"底气上限+10，后天筋骨+2"
十二正经-足少阴肾经,足少阴肾经,气穴,"底气上限+10，后天筋骨+2"
十二正经-足少阴肾经,足少阴肾经,四满,"底气上限+10，后天筋骨+2"
十二正经-足少阴肾经,足少阴肾经,中注,"底气上限+10，后天筋骨+2"
十二正经-足少阴肾经,足少阴肾经,肓俞,"底气上限+10，后天筋骨+2"
十二正经-足少阴肾经,足少阴肾经,商曲,"底气上限+10，后天筋骨+2"
十二正经-足少阴肾经,足少阴肾经,石关,"底气上限+10，后天筋骨+2"
十二正经-足少阴肾经,足少阴肾经,阴都,"底气上限+10，后天筋骨+2"
十二正经-足少阴肾经,足少阴肾经,腹通谷,"底气上限+10，后天筋骨+2"
十二正经-足少阴肾经,足少阴肾经,幽门,"底气上限+10，后天筋骨+2"
十二正经-足少阴肾经,足少阴肾经,步廊,"底气上限+10，后天筋骨+2"
十二正经-足少阴肾经,足少阴肾经,神封,"底气上限+10，后天筋骨+2"
十二正经-足少阴肾经,足少阴肾经,灵墟,"底气上限+10，后天筋骨+2"
十二正经-足少阴肾经,足少阴肾经,神藏,"底气上限+10，后天筋骨+2"
十二正经-足少阴肾经,足少阴肾经,彧中,"底气上限+10，后天筋骨+2"
十二正经-足少阴肾经,足少阴肾经,俞府,"底气上限+10，后天筋骨+2"
十二正经-手厥阴心包经,手厥阴心包经,天池,"底气上限+10，后天柔韧+2"
十二正经-手厥阴心包经,手厥阴心包经,天泉,"底气上限+10，后天柔韧+2"
十二正经-手厥阴心包经,手厥阴心包经,曲泽,"底气上限+10，后天柔韧+2"
十二正经-手厥阴心包经,手厥阴心包经,郄门,"底气上限+10，后天柔韧+2"
十二正经-手厥阴心包经,手厥阴心包经,间使,"底气上限+10，后天柔韧+2"
十二正经-手厥阴心包经,手厥阴心包经,内关,"底气上限+10，后天柔韧+2"
十二正经-手厥阴心包经,手厥阴心包经,大陵,"底气上限+10，后天柔韧+2"
十二正经-手厥阴心包经,手厥阴心包经,劳宫,"底气上限+10，后天柔韧+2"
十二正经-手厥阴心包经,手厥阴心包经,中冲,"底气上限+10，后天柔韧+2"
十二正经-手少阳三焦经,手少阳三焦经,关冲,"底气上限+10，后天呼吸+2"
十二正经-手少阳三焦经,手少阳三焦经,液门,"底气上限+10，后天呼吸+2"
十二正经-手少阳三焦经,手少阳三焦经,中渚,"底气上限+10，后天呼吸+2"
十二正经-手少阳三焦经,手少阳三焦经,阳池,"底气上限+10，后天呼吸+2"
十二正经-手少阳三焦经,手少阳三焦经,外关,"底气上限+10，后天呼吸+2"
十二正经-手少阳三焦经,手少阳三焦经,支沟,"底气上限+10，后天呼吸+2"
十二正经-手少阳三焦经,手少阳三焦经,会宗,"底气上限+10，后天呼吸+2"
十二正经-手少阳三焦经,手少阳三焦经,三阳络,"底气上限+10，后天呼吸+2"
十二正经-手少阳三焦经,手少阳三焦经,四渎,"底气上限+10，后天呼吸+2"
十二正经-手少阳三焦经,手少阳三焦经,天井,"底气上限+10，后天呼吸+2"
十二正经-手少阳三焦经,手少阳三焦经,清冷渊,"底气上限+10，后天呼吸+2"
十二正经-手少阳三焦经,手少阳三焦经,消泺,"底气上限+10，后天呼吸+2"
十二正经-手少阳三焦经,手少阳三焦经,臑会,"底气上限+10，后天呼吸+2"
十二正经-手少阳三焦经,手少阳三焦经,肩髃,"底气上限+10，后天呼吸+2"
十二正经-手少阳三焦经,手少阳三焦经,天髎,"底气上限+10，后天呼吸+2"
十二正经-手少阳三焦经,手少阳三焦经,天牖,"底气上限+10，后天呼吸+2"
十二正经-手少阳三焦经,手少阳三焦经,翳风,"底气上限+10，后天呼吸+2"
十二正经-手少阳三焦经,手少阳三焦经,瘈脉,"底气上限+10，后天呼吸+2"
十二正经-手少阳三焦经,手少阳三焦经,颅息,"底气上限+10，后天呼吸+2"
十二正经-手少阳三焦经,手少阳三焦经,角孙,"底气上限+10，后天呼吸+2"
十二正经-手少阳三焦经,手少阳三焦经,耳门,"底气上限+10，后天呼吸+2"
十二正经-手少阳三焦经,手少阳三焦经,耳和髎,"底气上限+10，后天呼吸+2"
十二正经-手少阳三焦经,手少阳三焦经,丝竹空,"底气上限+10，后天呼吸+2"
十二正经-足少阳胆经,足少阳胆经,瞳子髎,"底气上限+10，后天身手+2"
十二正经-足少阳胆经,足少阳胆经,听会,"底气上限+10，后天身手+2"
十二正经-足少阳胆经,足少阳胆经,上关,"底气上限+10，后天身手+2"
十二正经-足少阳胆经,足少阳胆经,颔厌,"底气上限+10，后天身手+2"
十二正经-足少阳胆经,足少阳胆经,悬颅,"底气上限+10，后天身手+2"
十二正经-足少阳胆经,足少阳胆经,悬厘,"底气上限+10，后天身手+2"
十二正经-足少阳胆经,足少阳胆经,曲鬓,"底气上限+10，后天身手+2"
十二正经-足少阳胆经,足少阳胆经,率谷,"底气上限+10，后天身手+2"
十二正经-足少阳胆经,足少阳胆经,天冲,"底气上限+10，后天身手+2"
十二正经-足少阳胆经,足少阳胆经,浮白,"底气上限+10，后天身手+2"
十二正经-足少阳胆经,足少阳胆经,头窍阴,"底气上限+10，后天身手+2"
十二正经-足少阳胆经,足少阳胆经,完骨,"底气上限+10，后天身手+2"
十二正经-足少阳胆经,足少阳胆经,本神,"底气上限+10，后天身手+2"
十二正经-足少阳胆经,足少阳胆经,阳白,"底气上限+10，后天身手+2"
十二正经-足少阳胆经,足少阳胆经,头临泣,"底气上限+10，后天身手+2"
十二正经-足少阳胆经,足少阳胆经,目窗,"底气上限+10，后天身手+2"
十二正经-足少阳胆经,足少阳胆经,正营,"底气上限+10，后天身手+2"
十二正经-足少阳胆经,足少阳胆经,承灵,"底气上限+10，后天身手+2"
十二正经-足少阳胆经,足少阳胆经,脑空,"底气上限+10，后天身手+2"
十二正经-足少阳胆经,足少阳胆经,风池,"底气上限+10，后天身手+2"
十二正经-足少阳胆经,足少阳胆经,肩井,"底气上限+10，后天身手+2"
十二正经-足少阳胆经,足少阳胆经,渊腋,"底气上限+10，后天身手+2"
十二正经-足少阳胆经,足少阳胆经,辄筋,"底气上限+10，后天身手+2"
十二正经-足少阳胆经,足少阳胆经,日月,"底气上限+10，后天身手+2"
十二正经-足少阳胆经,足少阳胆经,京门,"底气上限+10，后天身手+2"
十二正经-足少阳胆经,足少阳胆经,带脉,"底气上限+10，后天身手+2"
十二正经-足少阳胆经,足少阳胆经,五枢,"底气上限+10，后天身手+2"
十二正经-足少阳胆经,足少阳胆经,维道,"底气上限+10，后天身手+2"
十二正经-足少阳胆经,足少阳胆经,居髎,"底气上限+10，后天身手+2"
十二正经-足少阳胆经,足少阳胆经,环跳,"底气上限+10，后天身手+2"
