id,sn,placeholder_name,fn,category,sub_category,weight,stack_limit,quality,tags,source,production_lines,spoilage_ticks,price_class,volatility,region_restrict,base_value,water_points,cooking_ingredient,weapon_attack_power,skill_coef,pharmacy_ingredient,info_module_set_id
tool_sewing_kit_cloth,缝纫工具包,线包,装有几枚粗针与少量线轴的小包，用来简单修补衣物和布制装备。,tool,sewing,0.3,5,white,tool;sewing;repair,craft,weave;craft,0,life_good,low,0,160,,,,,
tool_flask_iron_water,铁皮水壶,铁水壶,包铁外壳的水壶，比陶罐更耐摔但略有金属异味。,tool,container,0.7,1,white,tool;container;water,craft;buy,craft,0,life_good,mid,0,420,,,,,
tool_pot_clay_cooking,粗陶饭锅,陶饭锅,用粗陶烧成的饭锅，受热不算均匀但足以应付常见炊煮。,tool,cookware,1.5,1,white,tool;cookware;cooking,craft;buy,cook,0,life_good,mid,0,360,,,,,
tool_steamer_bamboo_cooking,竹蒸笼,竹蒸屉,竹编蒸屉扣在锅上即可蒸食，与煮/炖锅分用。,tool,cookware,0.8,1,white,tool;cookware;cooking,craft;buy,cook,0,life_good,mid,0,320,,,,,
tool_wok_iron_cooking,铸铁炒锅,铁炒锅,厚底圆底锅，爆炒煸香离不开它。,tool,cookware,2.2,1,white,tool;cookware;cooking,craft;buy,cook,0,life_good,mid,0,520,,,,,
tool_fryer_pot_iron_cooking,深炸铁锅,炸锅,深腹小锅省油温稳，适合软炸与块炸。,tool,cookware,2.8,1,white,tool;cookware;cooking,craft;buy,cook,0,life_good,mid,0,580,,,,,
tool_pickling_jar_cooking,腌缸（玻璃罐）,腌缸,广口密封罐，腌黄瓜盐渍肉都靠它。,tool,cookware,1.1,1,white,tool;cookware;cooking,craft;buy,cook,0,life_good,mid,0,340,,,,,
tool_fermentation_jar_cooking,陶发酵坛,发酵坛,带气阀的陶坛，甜菜饮酸奶一类慢发酵用。,tool,cookware,4,1,white,tool;cookware;cooking,craft;buy,cook,0,life_good,mid,0,640,,,,,
tool_mortar_pestle_cooking,研磨钵与杵,研钵,石陶钵配杵，舂芝麻蒜泥拌凉菜。,tool,cookware,1.6,1,white,tool;cookware;cooking,craft;buy,cook,0,life_good,mid,0,380,,,,,
tool_bucket_water_empty,水桶,空水桶,木桶空荡荡的，能提水也能装点东西。,tool,container,1.2,1,white,tool;container;water,craft,craft,0,life_good,low,0,280,,,,,
tool_bucket_water_full,装满的水桶,满桶清水,桶里晃着水，一走就哗啦响；拿来做饭或倒进灶台水槽都行。,tool,container,6.2,1,white,tool;container;water;cooking,craft,craft,0,life_good,low,0,520,200,,,,
tool_rolling_pin_pharmacy,擀面杖,木擀杖,木制擀杖，用于压薄与碾碎药材。,tool,pharmacy,0.35,1,white,tool;pharmacy,craft,craft,0,life_good,low,0,260,,,,,
tool_strainer_pot_pharmacy,带网汤锅,网汤锅,带细网的汤锅，适合浸渍与滤出粗渣。,tool,pharmacy,1.4,1,white,tool;pharmacy,craft,craft,0,life_good,mid,0,420,,,,,
tool_distiller_pharmacy,蒸馏器,蒸馏器,简易玻璃与金属接口的蒸馏器，用于收集挥发成分。,tool,pharmacy,2.2,1,white,tool;pharmacy,craft,craft,0,material,mid,0,980,,,,,
tool_layer_filter_sheet_pharmacy,分层过滤片,滤片,叠层纤维滤片，用于粗滤与分层澄清。,tool,pharmacy,0.05,20,white,tool;pharmacy,craft,craft,0,life_good,low,0,120,,,,,
tool_long_handle_flask_pharmacy,长柄药瓶,长柄瓶,细长颈玻璃瓶配长柄夹持，便于离心与倾倒。,tool,pharmacy,0.25,1,white,tool;pharmacy,craft,craft,0,life_good,mid,0,340,,,,,
tool_steel_basin_pharmacy,钢盆,钢盆,浅口不锈钢盆，冷却与结晶时作容器。,tool,pharmacy,0.6,1,white,tool;pharmacy,craft,craft,0,life_good,mid,0,280,,,,,
tool_garlic_press_pharmacy,压蒜器,压蒜器,杠杆式压槽，借机械压力将软材压片或压泥。,tool,pharmacy,0.3,1,white,tool;pharmacy,craft,craft,0,life_good,low,0,200,,,,,
