id,sn,placeholder_name,fn_before,fn,category,sub_category,weight,stack_limit,quality,tags,source,production_lines,spoilage_ticks,price_class,volatility,region_restrict,base_value,edible,edible_buff_id,usable,use_buff_id,fuel_points,cooking_ingredient,pharmacy_ingredient,info_module_set_id,fert_c,fert_n,harvest_item_id,seed_tier
seed_beet,红甜菜种子,红甜菜种,籽簇多粒，好像能染色,甜菜种，根红做沙拉汤。,seed,farming,0.02,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_beet,2
seed_cabbage,白菜种子,白菜籽粒,籽细黑，好像能包心,大白菜种，秋冬包心。,seed,farming,0.02,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_cabbage,1
seed_carrot,胡萝卜种子,细条胡萝卜种,籽极小，好像能撒沟,胡萝卜种，直根橙红。,seed,farming,0.01,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_carrot,1
seed_konjac,魔芋种子,魔芋种芋,种芋滑腻，好像得处理,魔芋种芋，需处理碱味后收茎。,seed,farming,0.15,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_konjac,4
seed_radish_white,白萝卜种子,白萝卜种,籽圆褐小，好像能炖汤,白萝卜种，冬收水灵根。,seed,farming,0.02,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_radish_white,1
seed_celery,西芹种子,西芹籽,籽褐小，好像能育苗,西芹种，秆脆凉拌。,seed,farming,0.01,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_celery,3
seed_bamboo_shoot,竹笋种子,竹种根茎,根茎段带芽，好像能发笋,竹种或笋鞭，植后出嫩笋。,seed,farming,0.1,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_bamboo_shoot,5
seed_onion,洋葱种子,洋葱籽,籽黑三角，好像能育苗,洋葱种，球葱炝锅甜。,seed,farming,0.02,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_onion,2
seed_garlic,大蒜种子,蒜瓣种,分瓣种蒜，好像能起苗,蒜瓣下种，收头蒜。,seed,farming,0.03,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_garlic,2
seed_ginger,生姜种子,姜块种,发芽姜块，好像能埋畦,姜种块茎，收新姜。,seed,farming,0.06,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_ginger,3
seed_shallot,红葱头种子,红葱种头,小紫皮种头，好像炼葱油,红葱头种，炼油卤味香。,seed,farming,0.03,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_shallot,3
seed_leek,韭葱种子,韭葱籽,籽细黑，好像能条播,韭葱种，白管炖汤。,seed,farming,0.02,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_leek,3
seed_scallion,大葱种子,大葱籽,籽扁黑，好像能育苗,大葱种，长管炝锅。,seed,farming,0.02,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_scallion,2
seed_cilantro,芫荽种子,香菜籽,籽壳圆，闻着怪香,芫荽种，叶蘸水去腥。,seed,farming,0.02,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_cilantro,3
seed_star_anise,八角种子,八角树种,种壳硬，好像得慢长,八角树用种，多年成树收果。,seed,farming,0.03,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_star_anise,5
seed_sesame,芝麻种子,芝麻粒种,粒细油香，好像能撒行,芝麻种，收粒磨酱。,seed,farming,0.02,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_sesame,4
seed_pumpkin_seed,南瓜籽种子,南瓜籽种,籽扁白，好像能炒食,南瓜种，收瓜兼籽。,seed,farming,0.04,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_pumpkin_seed,4
seed_turmeric,姜黄种子,姜黄种块,块根黄，好像能染色,姜黄种块，收根茎磨粉。,seed,farming,0.05,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_turmeric,4
seed_cumin,孜然种子,孜然籽,籽条纹褐，好像烤肉,孜然种，收籽烤肉香。,seed,farming,0.02,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_cumin,5
seed_coriander_seed,芫荽子种子,香菜籽种,圆籽柑橘香，好像腌渍,香菜籽作种，亦可香料。,seed,farming,0.02,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_coriander_seed,4
seed_fennel_seed,小茴香子种子,茴香籽种,黄绿甜香，好像炖肉,小茴香籽播种，收籽去膻。,seed,farming,0.02,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_fennel_seed,4
seed_mustard_seed,芥末籽种子,芥末籽种,籽黄冲鼻，好像腌渍,芥末籽种，磨酱腌菜。,seed,farming,0.02,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_mustard_seed,3
seed_chili_kashmir,克什米尔辣椒种子,弯椒种,籽带烟熏甜，好像做酱,克什米尔椒种，温和调色。,seed,farming,0.02,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_chili_kashmir,5
seed_chili_red,红辣椒种子,红椒籽,籽扁红褐，好像剁椒,红辣椒种，鲜收做剁椒。,seed,farming,0.02,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_chili_red,3
seed_plantain,大蕉种子,蕉芽种,芽苗粗壮，好像得移栽,大蕉芽苗，淀粉蕉当主食。,seed,farming,0.2,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_plantain,4
seed_almond,杏仁种子,扁桃种核,核种硬壳，好像得慢长,扁桃树种核，多年成树。,seed,farming,0.04,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_almond,5
seed_peanut,花生种子,带壳花生种,籽粒饱满红衣，好像能条播,花生种，地下结荚收果。,seed,farming,0.05,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_peanut,2
seed_sugarcane,甘蔗种子,蔗节种,节眼发芽，好像能埋条,甘蔗种节，植条榨糖。,seed,farming,0.15,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_sugarcane,2
seed_lemon,柠檬种子,柠檬籽,籽白润，好像能育苗,柠檬种，盆栽育苗多年结果。,seed,farming,0.02,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_lemon,5
seed_apricot,杏子种子,杏核种,核壳硬，好像得育苗,杏树种核，成树收杏。,seed,farming,0.03,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_apricot,5
seed_pear,梨种子,梨核种,籽褐小，好像能嫁接,梨树种核，宜嫁接优良品。,seed,farming,0.03,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_pear,5
seed_cherry,樱桃种子,樱桃核种,核硬小，好像得冷层,樱桃种核，需处理后育苗。,seed,farming,0.02,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_cherry,5
seed_chestnut,板栗种子,板栗种,种栗带壳，好像能育苗,板栗种，成树收栗。,seed,farming,0.08,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_chestnut,4
seed_lotus_seed,莲子种子,莲子种,莲子种孔，好像能池栽,莲子作种，池栽收莲。,seed,farming,0.03,1,white,material;seed;farming,farming,,3600,material,low,0,,,,,,,,,,,,herb_lotus_seed,5
